26507
(1,25202)
(3,13998)
(3,7989)
(8,4547)
(9,38220)
(9,4237)
(11,11860)
(12,23667)
(13,35622)
(17,24063)
(21,21085)
(23,50420)
(26,32543)
(27,34290)
(30,12512)
(32,7501)
(34,20637)
(37,7964)
(39,42391)
(40,16092)
(47,50241)
(48,37151)
(50,40343)
(53,34022)
(53,52086)
(57,16226)
(60,5018)
(60,32196)
(62,10807)
(66,48665)
(68,37479)
(69,31874)
(73,4844)
(74,48560)
(75,689)
(76,50910)
(80,38582)
(80,13039)
(81,46922)
(82,31858)
(83,52182)
(84,51584)
(84,44881)
(88,185)
(89,30034)
(91,48322)
(92,30527)
(93,8281)
(94,37391)
(96,23628)
(97,32802)
(98,26020)
(98,35533)
(100,33066)
(101,15037)
(102,41705)
(102,22199)
(109,25536)
(111,5238)
(113,2515)
(116,33814)
(124,4514)
(125,19233)
(126,43456)
(127,23413)
(128,19260)
(131,36238)
(133,7028)
(134,48726)
(137,13533)
(141,11820)
(143,24230)
(144,46523)
(146,32276)
(148,40045)
(149,48704)
(153,278)
(155,51141)
(158,19696)
(158,47848)
(163,46302)
(164,48640)
(169,45149)
(170,23769)
(173,27968)
(173,9456)
(174,24080)
(174,1323)
(177,31931)
(180,8403)
(183,45592)
(184,24280)
(184,42236)
(185,38550)
(189,33017)
(190,43484)
(194,20916)
(195,24850)
(197,31761)
(197,40087)
(199,8955)
(200,49386)
(201,48903)
(202,15961)
(209,7772)
(209,53411)
(211,6872)
(212,29462)
(213,41621)
(215,19530)
(215,17325)
(217,32406)
(221,14398)
(222,39875)
(225,52817)
(233,8115)
(233,37884)
(236,21116)
(239,13125)
(241,4708)
(243,27734)
(247,11079)
(249,36438)
(250,38001)
(253,39042)
(254,14853)
(257,51522)
(259,38053)
(261,33918)
(262,53474)
(264,47277)
(265,7373)
(267,19916)
(269,51439)
(272,29611)
(273,42287)
(275,38542)
(277,39444)
(278,44640)
(279,37614)
(284,19862)
(285,51092)
(286,33492)
(287,19567)
(293,44932)
(294,37191)
(296,17625)
(297,46731)
(297,9158)
(299,46758)
(301,23414)
(303,47849)
(306,45903)
(307,51068)
(308,42918)
(312,53456)
(314,45843)
(316,31001)
(317,2944)
(319,12951)
(320,4912)
(321,36089)
(322,36782)
(324,24326)
(326,29857)
(327,49000)
(330,13437)
(331,23752)
(333,6731)
(333,25046)
(337,47070)
(338,34231)
(339,51543)
(341,9653)
(342,6301)
(342,3281)
(346,7140)
(351,10127)
(351,42451)
(353,18013)
(355,17244)
(355,8660)
(356,44741)
(357,38637)
(359,29734)
(360,2549)
(361,20937)
(364,34231)
(365,22188)
(370,5957)
(370,26139)
(374,8050)
(377,43704)
(377,18464)
(382,32654)
(384,47435)
(387,12943)
(387,48089)
(391,50785)
(392,1584)
(393,38621)
(394,19624)
(396,52115)
(398,4024)
(408,21745)
(410,17510)
(412,39457)
(413,5698)
(413,30893)
(414,44350)
(422,49946)
(423,43491)
(425,32800)
(431,4743)
(432,41069)
(432,21031)
(435,2858)
(435,49706)
(435,35106)
(435,6595)
(436,37320)
(437,31789)
(440,50212)
(441,37877)
(443,22748)
(444,10862)
(447,51434)
(448,24328)
(449,21164)
(450,11060)
(454,45092)
(456,48648)
(458,41267)
(458,12091)
(459,32907)
(460,7016)
(463,241)
(466,9261)
(466,39124)
(472,17260)
(472,9281)
(474,15862)
(477,42475)
(477,34930)
(479,27585)
(481,12895)
(482,49967)
(485,42638)
(487,26524)
(496,34883)
(497,47597)
(497,48818)
(498,39097)
(498,47410)
(500,29247)
(506,41126)
(514,37674)
